account_name,predict_class,prochoice_strength,prolife_strength,prolife proportion,prochoice proportion,prolife cnt,prochoice cnt,total cnt,account_type,stance
40daysforlife,1,0.3658565720872949,0.6341434279127051,1.0,0.0,18,0,18,1,-0.6263914899282089
AbolitionAHA,1,0.25033764119024937,0.7496623588097506,1.0,0.0,16,0,16,1,-0.4684123588097506
AbortionGroup,1,0.2921719824750409,0.7078280175249592,0.9666666666666668,0.03333333333333333,29,1,30,1,-0.6963892328958259
AmerLifeLeague,1,0.09047661614809288,0.9095233838519072,0.95,0.05,19,1,20,1,-0.8648306464217396
AntiAbrtionGang,1,0.11005882993736472,0.8899411700626353,1.0,0.0,21,0,21,1,-0.3582956004423821
AUL,1,0.12586791986469326,0.8741320801353067,0.9047619047619048,0.09523809523809523,19,2,21,1,-0.8023044664082517
Bound4LIFE,1,0.12476395390882122,0.8752360460911788,0.9615384615384616,0.038461538461538464,25,1,26,1,-0.7674621945010728
CA_ProLife,1,0.22548868324730345,0.7745113167526966,0.9629629629629628,0.037037037037037035,26,1,27,1,-0.712972855214235
ExposeAbortion,1,0.18821394516453627,0.8117860548354637,1.0,0.0,18,0,18,1,-0.7876702992084541
FightAbortion,1,0.0923845679352504,0.9076154320647496,0.9583333333333334,0.041666666666666664,23,1,24,1,-0.8692767739177847
frfrankpavone,1,0.12288067547498993,0.8771193245250101,0.9666666666666668,0.03333333333333333,29,1,30,1,-0.8258141940119588
HumanCoalition,1,0.16255265877084424,0.8374473412291558,0.9642857142857144,0.03571428571428571,27,1,28,1,-0.7962488393564966
KeepLifeLegal,1,0.10612311184758537,0.8938768881524146,1.0,0.0,20,0,20,1,-0.6855435548190812
LdnAntiAbortion,1,0.28021783774200604,0.719782162257994,0.8,0.2,4,1,5,1,-0.5531154955913273
LGBTQProLife,1,0.08880420615642037,0.9111957938435796,0.9230769230769232,0.07692307692307693,12,1,13,1,-0.8677175329740144
LifeNewsHQ,1,0.10003952315879272,0.8999604768412073,0.9696969696969696,0.030303030303030307,32,1,33,1,-0.8398101009013577
LilaGraceRose,1,0.1716368672101518,0.8283631327898482,1.0,0.0,14,0,14,1,-0.8116964661231815
LiveAction,1,0.11914654736221153,0.8808534526377885,0.7916666666666666,0.2083333333333333,19,5,24,1,-0.8482447569856145
nrlc,1,0.07888032659633037,0.9211196734036696,0.9473684210526316,0.05263157894736842,18,1,19,1,-0.8855209679020515
operationrescue,1,0.15878345848736075,0.8412165415126392,0.7857142857142857,0.21428571428571427,11,3,14,1,-0.771041102916148
PLAM_org,1,0.10622113332356696,0.8937788666764329,0.9444444444444444,0.05555555555555555,17,1,18,1,-0.8351581770212606
ProLifeAction,1,0.1499681409313317,0.8500318590686683,0.9310344827586208,0.06896551724137931,27,2,29,1,-0.7399052767901872
prolifealliance,1,0.15986023093675086,0.8401397690632492,0.6363636363636364,0.3636363636363637,7,4,11,1,-0.7632166921401723
ProLifeBlogs,1,0.10377834791938324,0.8962216520806168,1.0,0.0,24,0,24,1,-0.8962216520806168
prolifecampaign,1,0.21299947765776794,0.7870005223422321,0.967741935483871,0.03225806451612903,30,1,31,1,-0.694027549369259
ProLifeDem,1,0.4106734890049035,0.5893265109950965,0.9090909090909092,0.09090909090909093,10,1,11,1,-0.580554581170535
ProLifeLSU,1,0.1963877101660354,0.8036122898339646,0.9333333333333332,0.06666666666666668,14,1,15,1,-0.8036122898339646
ProLifePolitics,1,0.09207240332576684,0.9079275966742332,0.76,0.24,19,6,25,1,-0.7728793651629792
prolifepoppop,1,0.20696235526885695,0.793037644731143,0.8292682926829268,0.17073170731707318,34,7,41,1,-0.7513709780644764
ProLifeYouth,1,0.15713756793290398,0.842862432067096,1.0,0.0,25,0,25,1,-0.8346419291657421
recallabortion,1,0.3745469762391155,0.6254530237608845,0.9285714285714286,0.07142857142857142,26,2,28,1,-0.5731453314531922
RosaryMovement,1,0.15769221276514245,0.8423077872348576,1.0,0.0,12,0,12,1,-0.8378774074880221
SanDiegoProLife,1,0.09228012777674176,0.9077198722232582,0.9545454545454546,0.045454545454545456,21,1,22,1,-0.8550882932758898
SBAList,1,0.0848921112069112,0.9151078887930888,0.8823529411764706,0.1176470588235294,30,4,34,1,-0.8684821219219232
spucprolife,1,0.1518698910431312,0.8481301089568688,0.8571428571428571,0.14285714285714285,30,5,35,1,-0.8017166068471642
usccbprolife,1,0.4825332483809181,0.5174667516190821,0.9565217391304348,0.043478260869565216,22,1,23,1,-0.5174667516190821
abortion_clinic,0,0.7010504562400308,0.2989495437599692,0.0,1.0,0,6,6,0,-0.2989495437599692
Abortion_Rights,0,0.8486236059124941,0.15137639408750594,0.0,1.0,0,23,23,0,0.8181358010344453
AbortionCare,0,0.8035496543725554,0.1964503456274445,0.043478260869565216,0.9565217391304348,1,22,23,0,0.5560249018973079
AbortionFunds,0,0.8248433020855658,0.1751566979144342,0.0,1.0,0,31,31,0,0.8154829276705892
abortionpil,0,0.7655919360047255,0.2344080639952745,0.047619047619047616,0.9523809523809524,1,20,21,0,0.5906296433953742
AbortionRights,0,0.7905268892609107,0.2094731107390892,0.0,1.0,0,6,6,0,0.7696935559275775
AbortionStories,0,0.7471626842484786,0.2528373157515213,0.0,1.0,0,18,18,0,0.7350169352606244
AbortionSupport,0,0.837160765530751,0.16283923446924894,0.0,1.0,0,26,26,0,0.8224548831778098
AcpAbortion,0,0.7169701466640451,0.2830298533359549,0.03333333333333333,0.9666666666666668,1,29,30,0,0.5408043435552369
alranztweets,0,0.754934124120198,0.24506587587980205,0.0,1.0,0,7,7,0,0.744833114019188
BaltimoreFund,0,0.8764132517779004,0.12358674822209954,0.043478260869565216,0.9565217391304348,1,22,23,0,0.8706329049570911
BronxAbortion,0,0.7358985477352911,0.2641014522647089,0.0,1.0,0,13,13,0,0.7358985477352911
ChiAbortionFund,0,0.7991602024448279,0.2008397975551721,0.0,1.0,0,17,17,0,0.7563030595876851
DCAbortionFund,0,0.8100468116986395,0.18995318830136054,0.041666666666666664,0.9583333333333334,1,23,24,0,0.8031184052321267
Doctors4Choice,0,0.8450204687824756,0.15497953121752442,0.04,0.96,1,24,25,0,0.8113666226286295
Feminists4Life,1,0.13924955146755347,0.8607504485324465,1.0,0.0,5,0,5,0,-0.11769489297689095
freesafelegal,0,0.8259206134458655,0.17407938655413446,0.043478260869565216,0.9565217391304348,1,22,23,0,0.8206850113516246
LPJLeague,0,0.8353454871111037,0.16465451288889627,0.0,1.0,0,21,21,0,0.7984602412094643
MSFC,0,0.8370544648507143,0.16294553514928567,0.0,1.0,0,17,17,0,0.7876248070560375
NatAbortionFed,0,0.855614853545517,0.14438514645448305,0.0,1.0,0,26,26,0,0.8355031217019416
NCAbortionFund,0,0.7933807656286467,0.2066192343713533,0.0,1.0,0,21,21,0,0.7771923918243788
NDWINFund,0,0.8276754589205959,0.17232454107940395,0.0,1.0,0,14,14,0,0.8002781986466234
needabortionire,0,0.8179352984615968,0.1820647015384032,0.0,1.0,0,8,8,0,0.8179352984615968
NJAAF,0,0.874102775462953,0.125897224537047,0.0,1.0,0,22,22,0,0.8567617350005252
nolaAbortionFnd,0,0.8813125629864262,0.11868743701357372,0.0,1.0,0,23,23,0,0.8689158687715501
NYAAF,0,0.8328173912537477,0.16718260874625238,0.0,1.0,0,21,21,0,0.8035133619497183
PretermMAML,0,0.8720181599258859,0.12798184007411395,0.04,0.96,1,24,25,0,0.8463771342848604
RallyforChoice,0,0.8313125455106655,0.16868745448933453,0.0,1.0,0,12,12,0,0.8095734150758829
RBraceySherman,0,0.7786838139750261,0.22131618602497388,0.0,1.0,0,23,23,0,0.6675727028639149
robinmarty,0,0.6814190075347988,0.3185809924652013,0.3666666666666665,0.6333333333333333,11,19,30,0,0.3099904361062273
roisiningle,0,0.8331975964682602,0.16680240353173986,0.0,1.0,0,12,12,0,0.7101206733913371
Safe_Abortion,0,0.8239181527404073,0.17608184725959275,0.03448275862068965,0.9655172413793104,1,28,29,0,0.7843141923443677
SeaChangeProg,0,0.8312707876836276,0.16872921231637233,0.03448275862068965,0.9655172413793104,1,28,29,0,0.8107641531842307
ShoutYrAbortion,0,0.7661050983836113,0.23389490161638876,0.05882352941176471,0.9411764705882352,1,16,17,0,0.7535527971283812
SisterSupporter,0,0.8187042780878759,0.18129572191212406,0.0,1.0,0,7,7,0,0.7669801401568415
StephHerold,0,0.7632323606992809,0.23676763930071906,0.0,1.0,0,25,25,0,0.7258760388602005
TammiKromenaker,0,0.8458694010525214,0.15413059894747866,0.0,1.0,0,7,7,0,0.7394864223291171
Voice4ChoiceUK,0,0.8473576158899083,0.1526423841100917,0.0,1.0,0,8,8,0,0.7720887986856073
WholeWomans,0,0.812739992227542,0.18726000777245805,0.03571428571428571,0.9642857142857144,1,27,28,0,0.8019615491137695
